0;0xaae6;FUN_InstallCrack
728;0xb7ee;SYS_GetMouse
729;0xb812;SYS_Joystick
730;0xb884;io_shiftkey
731;0xb884;io_shiftkey
732;0xb884;io_shiftkey
733;0xb7ee;SYS_GetMouse
734;0xb812;SYS_Joystick
735;0xb884;io_shiftkey
736;0xb884;io_shiftkey
737;0xb884;io_shiftkey
738;0xb7ee;SYS_GetMouse
739;0xb812;SYS_Joystick
740;0xb884;io_shiftkey
741;0xb884;io_shiftkey
742;0xb884;io_shiftkey
743;0xb770;setphysic
744;0xb7ee;SYS_GetMouse
745;0xb812;SYS_Joystick
746;0xb884;io_shiftkey
747;0xb884;io_shiftkey
748;0xb884;io_shiftkey
749;0xb7ee;SYS_GetMouse
750;0xb812;SYS_Joystick
751;0xb884;io_shiftkey
752;0xb884;io_shiftkey
753;0xb884;io_shiftkey
754;0xb7ee;SYS_GetMouse
755;0xb812;SYS_Joystick
756;0xb884;io_shiftkey
757;0xb884;io_shiftkey
758;0xb884;io_shiftkey
759;0xb770;setphysic
760;0xb7ee;SYS_GetMouse
761;0xb812;SYS_Joystick
762;0xb884;io_shiftkey
763;0xb884;io_shiftkey
764;0xb884;io_shiftkey
765;0xb7ee;SYS_GetMouse
766;0xb812;SYS_Joystick
767;0xb884;io_shiftkey
768;0xb884;io_shiftkey
769;0xb884;io_shiftkey
770;0xb7ee;SYS_GetMouse
771;0xb812;SYS_Joystick
772;0xb884;io_shiftkey
773;0xb884;io_shiftkey
774;0xb884;io_shiftkey
775;0xb770;setphysic
776;0xb7ee;SYS_GetMouse
777;0xb812;SYS_Joystick
778;0xb884;io_shiftkey
779;0xb884;io_shiftkey
780;0xb884;io_shiftkey
781;0xb7ee;SYS_GetMouse
782;0xb812;SYS_Joystick
783;0xb884;io_shiftkey
784;0xb884;io_shiftkey
785;0xb884;io_shiftkey
786;0xb7ee;SYS_GetMouse
787;0xb812;SYS_Joystick
788;0xb884;io_shiftkey
789;0xb884;io_shiftkey
790;0xb884;io_shiftkey
791;0xb770;setphysic
792;0xb7ee;SYS_GetMouse
793;0xb812;SYS_Joystick
794;0xb884;io_shiftkey
795;0xb884;io_shiftkey
796;0xb884;io_shiftkey
797;0xb7ee;SYS_GetMouse
798;0xb812;SYS_Joystick
799;0xb884;io_shiftkey
800;0xb884;io_shiftkey
801;0xb884;io_shiftkey
802;0xb7ee;SYS_GetMouse
803;0xb812;SYS_Joystick
804;0xb884;io_shiftkey
805;0xb884;io_shiftkey
806;0xb884;io_shiftkey
807;0xb770;setphysic
808;0xb7ee;SYS_GetMouse
809;0xb812;SYS_Joystick
810;0xb884;io_shiftkey
811;0xb884;io_shiftkey
812;0xb884;io_shiftkey
813;0xb7ee;SYS_GetMouse
814;0xb812;SYS_Joystick
815;0xb884;io_shiftkey
816;0xb884;io_shiftkey
817;0xb884;io_shiftkey
818;0xb7ee;SYS_GetMouse
819;0xb812;SYS_Joystick
820;0xb884;io_shiftkey
821;0xb884;io_shiftkey
822;0xb884;io_shiftkey
823;0xb770;setphysic
824;0xb7ee;SYS_GetMouse
825;0xb812;SYS_Joystick
826;0xb884;io_shiftkey
827;0xb884;io_shiftkey
828;0xb884;io_shiftkey
829;0xb7ee;SYS_GetMouse
830;0xb812;SYS_Joystick
831;0xb884;io_shiftkey
832;0xb884;io_shiftkey
833;0xb884;io_shiftkey
834;0xb7ee;SYS_GetMouse
835;0xb812;SYS_Joystick
836;0xb884;io_shiftkey
837;0xb884;io_shiftkey
838;0xb884;io_shiftkey
839;0xb770;setphysic
840;0xb7ee;SYS_GetMouse
841;0xb812;SYS_Joystick
842;0xb884;io_shiftkey
843;0xb884;io_shiftkey
844;0xb884;io_shiftkey
845;0xb7ee;SYS_GetMouse
846;0xb812;SYS_Joystick
847;0xb884;io_shiftkey
848;0xb884;io_shiftkey
849;0xb884;io_shiftkey
850;0xb7ee;SYS_GetMouse
851;0xb812;SYS_Joystick
852;0xb884;io_shiftkey
853;0xb884;io_shiftkey
854;0xb884;io_shiftkey
855;0xb770;setphysic
856;0xb7ee;SYS_GetMouse
857;0xb812;SYS_Joystick
858;0xb884;io_shiftkey
859;0xb884;io_shiftkey
860;0xb884;io_shiftkey
861;0xb7ee;SYS_GetMouse
862;0xb812;SYS_Joystick
863;0xb884;io_shiftkey
864;0xb884;io_shiftkey
865;0xb884;io_shiftkey
866;0xb7ee;SYS_GetMouse
867;0xb812;SYS_Joystick
868;0xb884;io_shiftkey
869;0xb884;io_shiftkey
870;0xb884;io_shiftkey
871;0xb770;setphysic
872;0xb7ee;SYS_GetMouse
873;0xb812;SYS_Joystick
874;0xb884;io_shiftkey
875;0xb884;io_shiftkey
